word,pos,cefr,theme,definition,example_sentence
references,noun,C1,General,(TBD: references),The answer is _ .
hence,adverb,A2,General,(TBD: hence),The answer is _ .
argument,noun,B1,General,(TBD: argument),The answer is _ .
sound,noun,B1,General,(TBD: sound),The answer is _ .
religion,noun,B2,General,(TBD: religion),The answer is _ .
medicine,noun,A2,General,(TBD: medicine),The answer is _ .
moving,verb,C1,General,(TBD: moving),The answer is _ .
brown,noun,B1,General,(TBD: brown),The answer is _ .
agents,noun,B1,General,(TBD: agents),The answer is _ .
running,verb,B1,General,(TBD: running),The answer is _ .
play,verb,A2,General,(TBD: play),The answer is _ .
politics,noun,B2,General,(TBD: politics),The answer is _ .
permanent,adjective,B2,General,(TBD: permanent),The answer is _ .
cm,noun,A2,General,(TBD: cm),The answer is _ .
named,verb,B1,General,(TBD: named),The answer is _ .
please,verb,B2,General,(TBD: please),The answer is _ .
illinois,noun,A2,General,(TBD: illinois),The answer is _ .
firm,noun,B2,General,(TBD: firm),The answer is _ .
race,noun,B2,General,(TBD: race),The answer is _ .
sex,noun,B2,General,(TBD: sex),The answer is _ .
boston,noun,A2,General,(TBD: boston),The answer is _ .
identified,verb,C1,General,(TBD: identified),The answer is _ .
before,adverb,A2,General,(TBD: before),The answer is _ .
damage,noun,B2,General,(TBD: damage),The answer is _ .
stand,verb,B1,General,(TBD: stand),The answer is _ .
marriage,noun,B2,General,(TBD: marriage),The answer is _ .
equation,noun,C1,General,(TBD: equation),The answer is _ .
suggest,verb,B1,General,(TBD: suggest),The answer is _ .
indian,noun,A2,General,(TBD: indian),The answer is _ .
van,noun,B2,General,(TBD: van),The answer is _ .
mouth,noun,A2,General,(TBD: mouth),The answer is _ .
debt,noun,B2,General,(TBD: debt),The answer is _ .
institution,noun,C1,General,(TBD: institution),The answer is _ .
concern,noun,B1,General,(TBD: concern),The answer is _ .
sort,noun,B2,General,(TBD: sort),The answer is _ .
combination,noun,B2,General,(TBD: combination),The answer is _ .
highest,adjective,A2,General,(TBD: highest),The answer is _ .
popular,adjective,B1,General,(TBD: popular),The answer is _ .
ship,noun,A2,General,(TBD: ship),The answer is _ .
cross,noun,B1,General,(TBD: cross),The answer is _ .
pacific,noun,B1,General,(TBD: pacific),The answer is _ .
accept,verb,B1,General,(TBD: accept),The answer is _ .
statute,noun,A2,General,(TBD: statute),The answer is _ .
exist,verb,B1,General,(TBD: exist),The answer is _ .
pass,verb,B1,General,(TBD: pass),The answer is _ .
very,adjective,C1,General,(TBD: very),The answer is _ .
hot,adjective,A2,General,(TBD: hot),The answer is _ .
wish,verb,B1,General,(TBD: wish),The answer is _ .
skin,noun,B2,General,(TBD: skin),The answer is _ .
holding,verb,A2,General,(TBD: holding),The answer is _ .
submitted,verb,C1,General,(TBD: submitted),The answer is _ .
sector,noun,C1,General,(TBD: sector),The answer is _ .
subsequent,adjective,A2,General,(TBD: subsequent),The answer is _ .
limited,adjective,B2,General,(TBD: limited),The answer is _ .
leaders,noun,A2,General,(TBD: leaders),The answer is _ .
impossible,adjective,B1,General,(TBD: impossible),The answer is _ .
failed,verb,B1,General,(TBD: failed),The answer is _ .
recognized,verb,B2,General,(TBD: recognized),The answer is _ .
mental,adjective,B2,General,(TBD: mental),The answer is _ .
extension,noun,C1,General,(TBD: extension),The answer is _ .
centre,noun,B1,General,(TBD: centre),The answer is _ .
light,adjective,A2,General,(TBD: light),The answer is _ .
samples,noun,B1,General,(TBD: samples),The answer is _ .
virginia,noun,A2,General,(TBD: virginia),The answer is _ .
welfare,noun,C1,General,(TBD: welfare),The answer is _ .
largely,adverb,B2,General,(TBD: largely),The answer is _ .
form,verb,B2,General,(TBD: form),The answer is _ .
specified,verb,C1,General,(TBD: specified),The answer is _ .
commissioner,noun,C1,General,(TBD: commissioner),The answer is _ .
nuclear,adjective,B2,General,(TBD: nuclear),The answer is _ .
writing,verb,B1,General,(TBD: writing),The answer is _ .
competition,noun,B1,General,(TBD: competition),The answer is _ .
mexico,noun,A2,General,(TBD: mexico),The answer is _ .
official,adjective,B1,General,(TBD: official),The answer is _ .
resulting,verb,B1,General,(TBD: resulting),The answer is _ .
employer,noun,C1,General,(TBD: employer),The answer is _ .
st,noun,A2,General,(TBD: st),The answer is _ .
engaged,verb,B2,General,(TBD: engaged),The answer is _ .
origin,noun,B2,General,(TBD: origin),The answer is _ .
whole,noun,B2,General,(TBD: whole),The answer is _ .
season,noun,B2,General,(TBD: season),The answer is _ .
electric,adjective,B1,General,(TBD: electric),The answer is _ .
french,adjective,A2,General,(TBD: french),The answer is _ .
statements,noun,B1,General,(TBD: statements),The answer is _ .
houses,noun,A2,General,(TBD: houses),The answer is _ .
connected,verb,B2,General,(TBD: connected),The answer is _ .
christ,noun,A2,General,(TBD: christ),The answer is _ .
conflict,noun,B2,General,(TBD: conflict),The answer is _ .
style,noun,B1,General,(TBD: style),The answer is _ .
christian,noun,B2,General,(TBD: christian),The answer is _ .
numerous,adjective,B2,General,(TBD: numerous),The answer is _ .
out,adverb,A2,General,(TBD: out),The answer is _ .
studied,verb,A2,General,(TBD: studied),The answer is _ .
waste,noun,B2,General,(TBD: waste),The answer is _ .
evening,noun,A2,General,(TBD: evening),The answer is _ .
substantial,adjective,B2,General,(TBD: substantial),The answer is _ .
medical,noun,B1,General,(TBD: medical),The answer is _ .
editor,noun,B1,General,(TBD: editor),The answer is _ .
adequate,adjective,C1,General,(TBD: adequate),The answer is _ .
preparation,noun,B2,General,(TBD: preparation),The answer is _ .
agree,verb,A2,General,(TBD: agree),The answer is _ .
drawn,verb,A2,General,(TBD: drawn),The answer is _ .
jesus,noun,A2,General,(TBD: jesus),The answer is _ .
joint,adjective,B2,General,(TBD: joint),The answer is _ .
efficiency,noun,B2,General,(TBD: efficiency),The answer is _ .
hon,noun,A2,General,(TBD: hon),The answer is _ .
average,noun,B1,General,(TBD: average),The answer is _ .
greatest,adjective,A2,General,(TBD: greatest),The answer is _ .
possibility,noun,B2,General,(TBD: possibility),The answer is _ .
club,noun,A2,General,(TBD: club),The answer is _ .
republic,noun,B2,General,(TBD: republic),The answer is _ .
rural,adjective,C1,General,(TBD: rural),The answer is _ .
happened,verb,A2,General,(TBD: happened),The answer is _ .
sat,verb,A2,General,(TBD: sat),The answer is _ .
scheme,noun,C1,General,(TBD: scheme),The answer is _ .
moral,adjective,C1,General,(TBD: moral),The answer is _ .
vehicle,noun,B2,General,(TBD: vehicle),The answer is _ .
processing,noun,B2,General,(TBD: processing),The answer is _ .
start,verb,A2,General,(TBD: start),The answer is _ .
establishment,noun,B2,General,(TBD: establishment),The answer is _ .
deal,noun,B1,General,(TBD: deal),The answer is _ .
stress,noun,B2,General,(TBD: stress),The answer is _ .
affected,verb,B2,General,(TBD: affected),The answer is _ .
contain,verb,B2,General,(TBD: contain),The answer is _ .
usual,adjective,B1,General,(TBD: usual),The answer is _ .
citizens,noun,B1,General,(TBD: citizens),The answer is _ .
present,noun,A2,General,(TBD: present),The answer is _ .
thank,verb,A2,General,(TBD: thank),The answer is _ .
anyone,noun,A2,General,(TBD: anyone),The answer is _ .
everyone,noun,A2,General,(TBD: everyone),The answer is _ .
composition,noun,B2,General,(TBD: composition),The answer is _ .
daughter,noun,A2,General,(TBD: daughter),The answer is _ .
boys,noun,A2,General,(TBD: boys),The answer is _ .
close,adverb,A2,General,(TBD: close),The answer is _ .
counsel,noun,A2,General,(TBD: counsel),The answer is _ .
correct,adjective,A2,General,(TBD: correct),The answer is _ .
electrical,adjective,B2,General,(TBD: electrical),The answer is _ .
sites,noun,A2,General,(TBD: sites),The answer is _ .
time,adjective,B1,General,(TBD: time),The answer is _ .
reserve,noun,B2,General,(TBD: reserve),The answer is _ .
older,adjective,A2,General,(TBD: older),The answer is _ .
lives,noun,A2,General,(TBD: lives),The answer is _ .
apparently,adverb,B1,General,(TBD: apparently),The answer is _ .
piece,noun,A2,General,(TBD: piece),The answer is _ .
interpretation,noun,C1,General,(TBD: interpretation),The answer is _ .
attempt,noun,B1,General,(TBD: attempt),The answer is _ .
collected,verb,A2,General,(TBD: collected),The answer is _ .
officials,noun,B2,General,(TBD: officials),The answer is _ .
explain,verb,B1,General,(TBD: explain),The answer is _ .
solid,adjective,B2,General,(TBD: solid),The answer is _ .
documents,noun,B2,General,(TBD: documents),The answer is _ .
improve,verb,B1,General,(TBD: improve),The answer is _ .
file,noun,A2,General,(TBD: file),The answer is _ .
views,noun,B1,General,(TBD: views),The answer is _ .
charges,noun,B2,General,(TBD: charges),The answer is _ .
consumption,noun,B2,General,(TBD: consumption),The answer is _ .
recorded,verb,B1,General,(TBD: recorded),The answer is _ .
chance,noun,B1,General,(TBD: chance),The answer is _ .
amounts,noun,B2,General,(TBD: amounts),The answer is _ .
regional,adjective,B2,General,(TBD: regional),The answer is _ .
contracts,noun,C1,General,(TBD: contracts),The answer is _ .
liability,noun,A2,General,(TBD: liability),The answer is _ .
communities,noun,C1,General,(TBD: communities),The answer is _ .
believed,verb,A2,General,(TBD: believed),The answer is _ .
applicable,adjective,A2,General,(TBD: applicable),The answer is _ .
broad,adjective,B2,General,(TBD: broad),The answer is _ .
mail,noun,A2,General,(TBD: mail),The answer is _ .
bond,noun,B2,General,(TBD: bond),The answer is _ .
leaving,verb,B1,General,(TBD: leaving),The answer is _ .
return,verb,B1,General,(TBD: return),The answer is _ .
term,adjective,B2,General,(TBD: term),The answer is _ .
maximum,adjective,B2,General,(TBD: maximum),The answer is _ .
relationships,noun,B2,General,(TBD: relationships),The answer is _ .
injury,noun,B2,General,(TBD: injury),The answer is _ .
joseph,noun,A2,General,(TBD: joseph),The answer is _ .
relevant,adjective,C1,General,(TBD: relevant),The answer is _ .
properly,adverb,B2,General,(TBD: properly),The answer is _ .
phone,noun,A2,General,(TBD: phone),The answer is _ .
zone,noun,B1,General,(TBD: zone),The answer is _ .
operating,noun,B1,General,(TBD: operating),The answer is _ .
day,adjective,A2,General,(TBD: day),The answer is _ .
inches,noun,B2,General,(TBD: inches),The answer is _ .
supported,verb,B1,General,(TBD: supported),The answer is _ .
kingdom,noun,B1,General,(TBD: kingdom),The answer is _ .
appearance,noun,B1,General,(TBD: appearance),The answer is _ .
peter,noun,A2,General,(TBD: peter),The answer is _ .
earlier,adjective,A2,General,(TBD: earlier),The answer is _ .
moreover,adverb,B2,General,(TBD: moreover),The answer is _ .
largest,adjective,A2,General,(TBD: largest),The answer is _ .
edition,noun,B2,General,(TBD: edition),The answer is _ .
experiment,noun,B2,General,(TBD: experiment),The answer is _ .
positions,noun,B1,General,(TBD: positions),The answer is _ .
fall,noun,B2,General,(TBD: fall),The answer is _ .
key,adjective,A2,General,(TBD: key),The answer is _ .
detail,noun,B1,General,(TBD: detail),The answer is _ .
reality,noun,B2,General,(TBD: reality),The answer is _ .
bodies,noun,A2,General,(TBD: bodies),The answer is _ .
directed,verb,B1,General,(TBD: directed),The answer is _ .
layer,noun,B2,General,(TBD: layer),The answer is _ .
ca,noun,B1,General,(TBD: ca),The answer is _ .
johnson,noun,A2,General,(TBD: johnson),The answer is _ .
patterns,noun,B2,General,(TBD: patterns),The answer is _ .
girls,noun,A2,General,(TBD: girls),The answer is _ .
beautiful,adjective,A2,General,(TBD: beautiful),The answer is _ .
western,noun,C1,General,(TBD: western),The answer is _ .
australia,noun,A2,General,(TBD: australia),The answer is _ .
passage,noun,B1,General,(TBD: passage),The answer is _ .
affect,verb,B2,General,(TBD: affect),The answer is _ .
external,adjective,C1,General,(TBD: external),The answer is _ .
human,noun,B2,General,(TBD: human),The answer is _ .
window,noun,A2,General,(TBD: window),The answer is _ .
lady,noun,A2,General,(TBD: lady),The answer is _ .
map,noun,A2,General,(TBD: map),The answer is _ .
suitable,adjective,B1,General,(TBD: suitable),The answer is _ .
immediate,adjective,B2,General,(TBD: immediate),The answer is _ .
quantity,noun,B2,General,(TBD: quantity),The answer is _ .
typical,adjective,B2,General,(TBD: typical),The answer is _ .
green,adjective,A2,General,(TBD: green),The answer is _ .
related,adjective,C1,General,(TBD: related),The answer is _ .
territory,noun,C1,General,(TBD: territory),The answer is _ .
edge,noun,B2,General,(TBD: edge),The answer is _ .
reach,verb,B1,General,(TBD: reach),The answer is _ .
meant,verb,B1,General,(TBD: meant),The answer is _ .
turn,noun,A2,General,(TBD: turn),The answer is _ .
testimony,noun,C1,General,(TBD: testimony),The answer is _ .
early,adverb,A2,General,(TBD: early),The answer is _ .
supreme,noun,A2,General,(TBD: supreme),The answer is _ .
dependent,adjective,B2,General,(TBD: dependent),The answer is _ .
arts,noun,A2,General,(TBD: arts),The answer is _ .
regions,noun,B2,General,(TBD: regions),The answer is _ .
talk,verb,A2,General,(TBD: talk),The answer is _ .
testing,noun,B1,General,(TBD: testing),The answer is _ .
museum,noun,B1,General,(TBD: museum),The answer is _ .
laid,verb,B2,General,(TBD: laid),The answer is _ .
fresh,adjective,B1,General,(TBD: fresh),The answer is _ .
findings,noun,B2,General,(TBD: findings),The answer is _ .
columbia,noun,Unknown,General,(TBD: columbia),The answer is _ .
offer,verb,B1,General,(TBD: offer),The answer is _ .
protein,noun,A2,General,(TBD: protein),The answer is _ .
density,noun,A2,General,(TBD: density),The answer is _ .
married,verb,B1,General,(TBD: married),The answer is _ .
teaching,noun,B2,General,(TBD: teaching),The answer is _ .
mechanical,adjective,B2,General,(TBD: mechanical),The answer is _ .
proportion,noun,B2,General,(TBD: proportion),The answer is _ .
instruction,noun,B2,General,(TBD: instruction),The answer is _ .
needs,verb,B1,General,(TBD: needs),The answer is _ .
cancer,noun,B2,General,(TBD: cancer),The answer is _ .
finance,noun,C1,General,(TBD: finance),The answer is _ .
exactly,adverb,B1,General,(TBD: exactly),The answer is _ .
civil,noun,B2,General,(TBD: civil),The answer is _ .
markets,noun,B1,General,(TBD: markets),The answer is _ .
note,verb,A2,General,(TBD: note),The answer is _ .
contrast,noun,B1,General,(TBD: contrast),The answer is _ .
urban,adjective,C1,General,(TBD: urban),The answer is _ .
lived,verb,B1,General,(TBD: lived),The answer is _ .
increases,noun,B1,General,(TBD: increases),The answer is _ .
two,adjective,A2,General,(TBD: two),The answer is _ .
nine,noun,A2,General,(TBD: nine),The answer is _ .
divided,verb,C1,General,(TBD: divided),The answer is _ .
generation,noun,B1,General,(TBD: generation),The answer is _ .
call,noun,A2,General,(TBD: call),The answer is _ .
primarily,adverb,B2,General,(TBD: primarily),The answer is _ .
thirty,noun,A2,General,(TBD: thirty),The answer is _ .
objects,noun,B2,General,(TBD: objects),The answer is _ .
skills,noun,A2,General,(TBD: skills),The answer is _ .
pay,noun,A2,General,(TBD: pay),The answer is _ .
carbon,noun,C1,General,(TBD: carbon),The answer is _ .
filled,verb,A2,General,(TBD: filled),The answer is _ .
aircraft,noun,C1,General,(TBD: aircraft),The answer is _ .
fell,verb,B1,General,(TBD: fell),The answer is _ .
philosophy,noun,B2,General,(TBD: philosophy),The answer is _ .
manufacturing,noun,C1,General,(TBD: manufacturing),The answer is _ .
understood,verb,B1,General,(TBD: understood),The answer is _ .
pounds,noun,B2,General,(TBD: pounds),The answer is _ .
shape,noun,B1,General,(TBD: shape),The answer is _ .
based,adjective,B1,General,(TBD: based),The answer is _ .
foot,noun,B2,General,(TBD: foot),The answer is _ .
background,noun,B1,General,(TBD: background),The answer is _ .
et,conjunction,A2,General,(TBD: et),The answer is _ .
bridge,noun,A2,General,(TBD: bridge),The answer is _ .
stop,verb,A2,General,(TBD: stop),The answer is _ .
consists,verb,B1,General,(TBD: consists),The answer is _ .
settlement,noun,B2,General,(TBD: settlement),The answer is _ .
foreign,noun,A2,General,(TBD: foreign),The answer is _ .
desire,noun,B2,General,(TBD: desire),The answer is _ .
consumer,noun,B2,General,(TBD: consumer),The answer is _ .
purchase,noun,C1,General,(TBD: purchase),The answer is _ .
representative,noun,B2,General,(TBD: representative),The answer is _ .
mining,noun,B1,General,(TBD: mining),The answer is _ .
message,noun,A2,General,(TBD: message),The answer is _ .
maintained,verb,B2,General,(TBD: maintained),The answer is _ .
explained,verb,B1,General,(TBD: explained),The answer is _ .
communications,noun,B1,General,(TBD: communications),The answer is _ .
louis,noun,A2,General,(TBD: louis),The answer is _ .
improved,verb,C1,General,(TBD: improved),The answer is _ .
either,adverb,A2,General,(TBD: either),The answer is _ .
southern,adjective,B2,General,(TBD: southern),The answer is _ .
lay,verb,B2,General,(TBD: lay),The answer is _ .
delivery,noun,B2,General,(TBD: delivery),The answer is _ .
derived,verb,B2,General,(TBD: derived),The answer is _ .
maybe,adverb,A2,General,(TBD: maybe),The answer is _ .
tables,noun,A2,General,(TBD: tables),The answer is _ .
brain,noun,A2,General,(TBD: brain),The answer is _ .
farmers,noun,A2,General,(TBD: farmers),The answer is _ .
closely,adverb,B2,General,(TBD: closely),The answer is _ .
mission,noun,B2,General,(TBD: mission),The answer is _ .
sugar,noun,A2,General,(TBD: sugar),The answer is _ .
crime,noun,B1,General,(TBD: crime),The answer is _ .
depth,noun,B2,General,(TBD: depth),The answer is _ .
loans,noun,C1,General,(TBD: loans),The answer is _ .
hope,noun,A2,General,(TBD: hope),The answer is _ .
ancient,adjective,B1,General,(TBD: ancient),The answer is _ .
aware,adjective,B2,General,(TBD: aware),The answer is _ .
youth,noun,B1,General,(TBD: youth),The answer is _ .
excellent,adjective,A2,General,(TBD: excellent),The answer is _ .
search,noun,B1,General,(TBD: search),The answer is _ .
edward,noun,A2,General,(TBD: edward),The answer is _ .
hope,verb,B2,General,(TBD: hope),The answer is _ .
combined,verb,B2,General,(TBD: combined),The answer is _ .
blue,adjective,A2,General,(TBD: blue),The answer is _ .
signal,noun,B2,General,(TBD: signal),The answer is _ .
assumed,verb,B2,General,(TBD: assumed),The answer is _ .
recommended,verb,B2,General,(TBD: recommended),The answer is _ .
grade,noun,A2,General,(TBD: grade),The answer is _ .
charged,verb,B2,General,(TBD: charged),The answer is _ .
black,noun,A2,General,(TBD: black),The answer is _ .
cambridge,noun,B1,General,(TBD: cambridge),The answer is _ .
command,noun,B2,General,(TBD: command),The answer is _ .
load,noun,B1,General,(TBD: load),The answer is _ .
engine,noun,B2,General,(TBD: engine),The answer is _ .
sides,noun,A2,General,(TBD: sides),The answer is _ .
supplies,noun,B2,General,(TBD: supplies),The answer is _ .
ice,noun,A2,General,(TBD: ice),The answer is _ .
economic,noun,B2,General,(TBD: economic),The answer is _ .
approval,noun,B2,General,(TBD: approval),The answer is _ .
native,adjective,B1,General,(TBD: native),The answer is _ .
entry,noun,B2,General,(TBD: entry),The answer is _ .
path,noun,B1,General,(TBD: path),The answer is _ .
continuous,adjective,B2,General,(TBD: continuous),The answer is _ .
device,noun,B2,General,(TBD: device),The answer is _ .
channel,noun,B2,General,(TBD: channel),The answer is _ .
rich,adjective,A2,General,(TBD: rich),The answer is _ .
kinds,noun,A2,General,(TBD: kinds),The answer is _ .
strategy,noun,B1,General,(TBD: strategy),The answer is _ .
bay,noun,B1,General,(TBD: bay),The answer is _ .
learned,verb,A2,General,(TBD: learned),The answer is _ .
signed,verb,B1,General,(TBD: signed),The answer is _ .
technique,noun,B2,General,(TBD: technique),The answer is _ .
solutions,noun,B1,General,(TBD: solutions),The answer is _ .
fear,noun,B1,General,(TBD: fear),The answer is _ .
salt,noun,B1,General,(TBD: salt),The answer is _ .
feeling,noun,A2,General,(TBD: feeling),The answer is _ .
beginning,verb,B1,General,(TBD: beginning),The answer is _ .
marketing,noun,C1,General,(TBD: marketing),The answer is _ .
remaining,verb,C1,General,(TBD: remaining),The answer is _ .
cotton,noun,B2,General,(TBD: cotton),The answer is _ .
close,adjective,A2,General,(TBD: close),The answer is _ .
opportunities,noun,B1,General,(TBD: opportunities),The answer is _ .
multiple,adjective,C1,General,(TBD: multiple),The answer is _ .
exercise,noun,B1,General,(TBD: exercise),The answer is _ .
wind,noun,A2,General,(TBD: wind),The answer is _ .
ensure,verb,B2,General,(TBD: ensure),The answer is _ .
thinking,verb,A2,General,(TBD: thinking),The answer is _ .
michigan,noun,B1,General,(TBD: michigan),The answer is _ .
arm,noun,A2,General,(TBD: arm),The answer is _ .
earlier,adverb,A2,General,(TBD: earlier),The answer is _ .
play,noun,A2,General,(TBD: play),The answer is _ .
offices,noun,A2,General,(TBD: offices),The answer is _ .
english,adjective,B1,General,(TBD: english),The answer is _ .
expect,verb,B1,General,(TBD: expect),The answer is _ .
proved,verb,B2,General,(TBD: proved),The answer is _ .
periods,noun,A2,General,(TBD: periods),The answer is _ .
authors,noun,B1,General,(TBD: authors),The answer is _ .
proof,noun,B2,General,(TBD: proof),The answer is _ .
publications,noun,C1,General,(TBD: publications),The answer is _ .
closed,verb,A2,General,(TBD: closed),The answer is _ .
contribution,noun,B2,General,(TBD: contribution),The answer is _ .
emergency,noun,B1,General,(TBD: emergency),The answer is _ .
item,noun,A2,General,(TBD: item),The answer is _ .
securities,noun,B2,General,(TBD: securities),The answer is _ .
cooperation,noun,C1,General,(TBD: cooperation),The answer is _ .
jury,noun,C1,General,(TBD: jury),The answer is _ .
represents,verb,B1,General,(TBD: represents),The answer is _ .
bit,noun,B1,General,(TBD: bit),The answer is _ .
protect,verb,B2,General,(TBD: protect),The answer is _ .
participation,noun,C1,General,(TBD: participation),The answer is _ .
wages,noun,C1,General,(TBD: wages),The answer is _ .
difficulty,noun,B1,General,(TBD: difficulty),The answer is _ .
result,verb,B2,General,(TBD: result),The answer is _ .
classification,noun,C1,General,(TBD: classification),The answer is _ .
pennsylvania,noun,B1,General,(TBD: pennsylvania),The answer is _ .
fundamental,adjective,C1,General,(TBD: fundamental),The answer is _ .
fruit,noun,A2,General,(TBD: fruit),The answer is _ .
sciences,noun,A2,General,(TBD: sciences),The answer is _ .
limits,noun,B2,General,(TBD: limits),The answer is _ .
observations,noun,B2,General,(TBD: observations),The answer is _ .
highway,noun,B1,General,(TBD: highway),The answer is _ .
expansion,noun,C1,General,(TBD: expansion),The answer is _ .
document,noun,B2,General,(TBD: document),The answer is _ .
port,noun,B2,General,(TBD: port),The answer is _ .
walls,noun,A2,General,(TBD: walls),The answer is _ .
doctor,noun,A2,General,(TBD: doctor),The answer is _ .
assume,verb,B2,General,(TBD: assume),The answer is _ .
leadership,noun,B2,General,(TBD: leadership),The answer is _ .
happy,adjective,A2,General,(TBD: happy),The answer is _ .
legislative,adjective,C1,General,(TBD: legislative),The answer is _ .
prove,verb,B2,General,(TBD: prove),The answer is _ .
carrying,verb,A2,General,(TBD: carrying),The answer is _ .
carefully,adverb,A2,General,(TBD: carefully),The answer is _ .
off,preposition,B2,General,(TBD: off),The answer is _ .
birth,noun,A2,General,(TBD: birth),The answer is _ .
band,noun,A2,General,(TBD: band),The answer is _ .
mainly,adverb,B1,General,(TBD: mainly),The answer is _ .
stay,verb,A2,General,(TBD: stay),The answer is _ .
conduct,noun,B2,General,(TBD: conduct),The answer is _ .
identity,noun,B2,General,(TBD: identity),The answer is _ .
recovery,noun,B2,General,(TBD: recovery),The answer is _ .
meetings,noun,A2,General,(TBD: meetings),The answer is _ .
machinery,noun,B1,General,(TBD: machinery),The answer is _ .
fourth,adjective,A2,General,(TBD: fourth),The answer is _ .
leader,noun,A2,General,(TBD: leader),The answer is _ .
los,noun,B2,General,(TBD: los),The answer is _ .
block,noun,A2,General,(TBD: block),The answer is _ .
reading,verb,A2,General,(TBD: reading),The answer is _ .
build,verb,A2,General,(TBD: build),The answer is _ .
organized,verb,B1,General,(TBD: organized),The answer is _ .
governments,noun,B1,General,(TBD: governments),The answer is _ .
sought,verb,B1,General,(TBD: sought),The answer is _ .
left,adjective,A2,General,(TBD: left),The answer is _ .
suggests,verb,B1,General,(TBD: suggests),The answer is _ .
horse,noun,A2,General,(TBD: horse),The answer is _ .
indicates,verb,B1,General,(TBD: indicates),The answer is _ .
schedule,noun,B1,General,(TBD: schedule),The answer is _ .
revolution,noun,C1,General,(TBD: revolution),The answer is _ .
top,adjective,B2,General,(TBD: top),The answer is _ .
fees,noun,B1,General,(TBD: fees),The answer is _ .
possibly,adverb,B1,General,(TBD: possibly),The answer is _ .
membership,noun,B2,General,(TBD: membership),The answer is _ .
rapidly,adverb,B2,General,(TBD: rapidly),The answer is _ .
oxford,noun,B1,General,(TBD: oxford),The answer is _ .
pure,adjective,B2,General,(TBD: pure),The answer is _ .
quarter,noun,A2,General,(TBD: quarter),The answer is _ .
apparent,adjective,B2,General,(TBD: apparent),The answer is _ .
formal,adjective,B2,General,(TBD: formal),The answer is _ .
profit,noun,C1,General,(TBD: profit),The answer is _ .
petition,noun,B1,General,(TBD: petition),The answer is _ .
attack,noun,B1,General,(TBD: attack),The answer is _ .
soul,noun,B2,General,(TBD: soul),The answer is _ .
extended,verb,B2,General,(TBD: extended),The answer is _ .
tools,noun,A2,General,(TBD: tools),The answer is _ .
shares,noun,A2,General,(TBD: shares),The answer is _ .
mountain,noun,A2,General,(TBD: mountain),The answer is _ .
guide,noun,B2,General,(TBD: guide),The answer is _ .
examined,verb,B2,General,(TBD: examined),The answer is _ .
overall,adjective,C1,General,(TBD: overall),The answer is _ .
daily,adjective,B1,General,(TBD: daily),The answer is _ .
structural,adjective,B1,General,(TBD: structural),The answer is _ .
arrived,verb,A2,General,(TBD: arrived),The answer is _ .
printed,verb,B1,General,(TBD: printed),The answer is _ .
potential,noun,B2,General,(TBD: potential),The answer is _ .
apart,adverb,B1,General,(TBD: apart),The answer is _ .
measurements,noun,B2,General,(TBD: measurements),The answer is _ .
battle,noun,B2,General,(TBD: battle),The answer is _ .
component,noun,C1,General,(TBD: component),The answer is _ .
nevertheless,adverb,B2,General,(TBD: nevertheless),The answer is _ .
sand,noun,B2,General,(TBD: sand),The answer is _ .
americans,noun,A2,General,(TBD: americans),The answer is _ .
career,noun,B2,General,(TBD: career),The answer is _ .
around,adverb,B1,General,(TBD: around),The answer is _ .
acres,noun,B1,General,(TBD: acres),The answer is _ .
radiation,noun,B2,General,(TBD: radiation),The answer is _ .
engineers,noun,A2,General,(TBD: engineers),The answer is _ .
cars,noun,A2,General,(TBD: cars),The answer is _ .
writing,noun,B1,General,(TBD: writing),The answer is _ .
ministry,noun,B1,General,(TBD: ministry),The answer is _ .
billion,noun,C1,General,(TBD: billion),The answer is _ .
determining,verb,B2,General,(TBD: determining),The answer is _ .
stories,noun,A2,General,(TBD: stories),The answer is _ .
award,noun,B1,General,(TBD: award),The answer is _ .
clause,noun,C1,General,(TBD: clause),The answer is _ .
pointed,verb,A2,General,(TBD: pointed),The answer is _ .
instrument,noun,B1,General,(TBD: instrument),The answer is _ .
female,adjective,B1,General,(TBD: female),The answer is _ .
possession,noun,B2,General,(TBD: possession),The answer is _ .
wave,noun,B1,General,(TBD: wave),The answer is _ .
show,noun,B1,General,(TBD: show),The answer is _ .
firms,noun,B2,General,(TBD: firms),The answer is _ .
extremely,adverb,B1,General,(TBD: extremely),The answer is _ .
avenue,noun,B2,General,(TBD: avenue),The answer is _ .
ought,verb,B1,General,(TBD: ought),The answer is _ .
height,noun,B2,General,(TBD: height),The answer is _ .
detailed,adjective,C1,General,(TBD: detailed),The answer is _ .
act,verb,B2,General,(TBD: act),The answer is _ .
fall,verb,B1,General,(TBD: fall),The answer is _ .
therapy,noun,C1,General,(TBD: therapy),The answer is _ .
forced,verb,B2,General,(TBD: forced),The answer is _ .
killed,verb,A2,General,(TBD: killed),The answer is _ .
mechanism,noun,B1,General,(TBD: mechanism),The answer is _ .
hotel,noun,A2,General,(TBD: hotel),The answer is _ .
specifically,adverb,C1,General,(TBD: specifically),The answer is _ .
michael,noun,B1,General,(TBD: michael),The answer is _ .
extensive,adjective,C1,General,(TBD: extensive),The answer is _ .
all,adverb,B1,General,(TBD: all),The answer is _ .
cycle,noun,B2,General,(TBD: cycle),The answer is _ .
safe,adjective,B1,General,(TBD: safe),The answer is _ .
